DESKTOP-MFHLT3T	1503822505	1503824536	PvZ_1.2.0.1073	08/27/17 17:09:25	AdventureFirst	L3-10	Won				30	ÿZú	0	 ’4I	0	≤ˆ	0	k£	0	 ’4I	0	ÿZú	0	≤ˆ	0	ÿZú	0	ÿZú	0	-	0	403	26	1462	995	12417	12540	0	0	3	0	0	50	$8,760	$1,930	0.00	96.99	Hardware	Windowed	0	0	1_24775	1	0	0	0	
DESKTOP-QRNV808	1503827722	1503827796	PvZ_1.2.0.1073	08/27/17 18:01:10	AdventureFirst	L4-1	Won				10	4u«	6	∑«	17	3I«	11	'∑«	2	≤ˆ	6	 ’4I	2	F0˜	0	ù‹	1	-	0	-	0	268	4	281	61	12758	13253	11	10	0	0	0	420	$8,890	$330	36.53	22.31	Software	Windowed	475	0	1_54742	0	0	0	0	
DESKTOP-QRNV808	1503827722	1503828073	PvZ_1.2.0.1073	08/27/17 18:07:41	AdventureFirst	L4-2	Won				20		ÕK	7	≤ˆ	7	3I«	12	∑«	23	4u«	7	 ’4I	0	˜ «	1	ù‹	0	-	0	-	0	384	1	667	62	13144	13254	12	12	1	0	0	110	$9,380	$490	24.77	19.46	Software	Windowed	83	0	1_54742	0	0	0	0	
DESKTOP-QRNV808	1503827722	1503828462	PvZ_1.2.0.1073	08/27/17 18:12:57	AdventureFirst	L4-3	Won				10	Ÿ∫å	8	4u«	7	≤ˆ	6	ù‹	3		ÕK	0	3I«	9	∑«	14	 ’4I	2	-	0	-	0	304	9	972	71	13449	13263	9	14	2	0	2	75	$9,620	$240	33.04	22.59	Software	Windowed	143	0	1_54742	0	0	0	0	
DESKTOP-QRNV808	1503827722	1503828783	PvZ_1.2.0.1073	08/27/17 18:20:36	AdventureFirst	L4-4	Won				20	4u«	9	Ÿ∫å	6	ù‹	1	≤ˆ	9	 ’4I	1	3I«	12	∑«	17		ÕK	4	-	0	-	0	436	13	1414	84	13891	13276	12	9	2	0	0	125	$10,070	$450	30.89	20.06	Software	Windowed	8	0	1_54742	0	0	0	0	
DESKTOP-QRNV808	1503827722	1503829269	PvZ_1.2.0.1073	08/27/17 18:29:16	AdventureFirst	L4-5	Won				0	1C∏9	0	-	0	-	0	-	0	-	0	-	0	-	0	-	0	-	0	-	0	156	328	1602	412	14079	13604	0	0	0	0	0	0	$11,210	$340	42.13	31.65	Software	Windowed	23	0	1_54742	0	0	0	0	
DESKTOP-QRNV808	1503827722	1503831760	PvZ_1.2.0.1073	08/27/17 19:08:19	AdventureFirst	L4-6	Won				10	ÃK	4	4u«	6	≤ˆ	5	ù‹	1	∑«	13	3I«	13	 ’4I	2	˜ «	1	-	0	-	0	332	4	1981	2361	14458	15553	12	11	0	0	0	380	$11,330	$320	32.57	19.76	Software	Windowed	0	0	1_54742	0	0	0	0	
DESKTOP-QRNV808	1503827722	1503832101	PvZ_1.2.0.1073	08/27/17 19:16:51	AdventureFirst	L4-7	Won				20	ÃK	4	4u«	10	≤ˆ	6	3I«	12	∑«	23	 ’4I	1	ù‹	2	ú	6	-	0	-	0	491	14	2474	2375	14951	15567	12	18	4	0	0	1710	$11,670	$340	23.40	19.16	Software	Windowed	14	0	1_54742	0	0	0	0	
DESKTOP-QRNV808	1503827722	1503832622	PvZ_1.2.0.1073	08/27/17 19:17:57	Vasebreaker	[SCARY_POTTER_1]	Won				0	1C∏9	0	-	0	-	0	-	0	-	0	-	0	-	0	-	0	-	0	-	0	54	0	2537	2377	15014	15569	0	0	0	0	0	0	$11,940	$270	50.84	45.01	Software	Windowed	0	0	1_54742	0	0	0	1	
DESKTOP-QRNV808	1503827722	1503832680	PvZ_1.2.0.1073	08/27/17 19:19:39	Challenge	[I_ZOMBIE_1]	Won				0	-	2	-	5	-	2	-	0	-	0	-	0	-	0	-	0	-	0	-	0	98	0	2639	2377	15116	15569	0	17	0	0	0	875	$13,020	$1,080	33.97	25.17	Software	Windowed	0	0	1_54742	1	0	0	1	
